,User Name,Twitter Handle,User Description,Joined,Following,Followers,Profile Image,Profile Banner,Subscriptions
0,KATY PERRY,@katyperry,LOVE is the key that unlocks every door,February 2009,240,106.7M,https://pbs.twimg.com/profile_images/1721664436426178560/e-RFAuTL_200x200.jpg,,
1,Justin Bieber,@justinbieber,JUSTICE the album out now,March 2009,274.4K,111.1M,https://pbs.twimg.com/profile_images/1473447174591684612/vlsbWYtq_200x200.jpg,https://pbs.twimg.com/profile_banners/27260086/1633666270/600x200,
2,Taylor Swift,@taylorswift13,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out April 19 ,December 2008,0,95.3M,https://pbs.twimg.com/profile_images/1766836345450672128/HpuBz514_200x200.jpg,https://pbs.twimg.com/profile_banners/17919972/1710081597/600x200,
3,Rihanna,@rihanna,,October 2009,972,108M,https://pbs.twimg.com/profile_images/1585851311701970945/fC9dfWVm_200x200.jpg,https://pbs.twimg.com/profile_banners/79293791/1666801643/600x200,
4,Lady Gaga,@ladygaga,JAZZ & PIANO ,March 2008,112.6K,83.5M,https://pbs.twimg.com/profile_images/1548557958564364289/6ewE00_O_200x200.jpg,https://pbs.twimg.com/profile_banners/14230524/1690808625/600x200,
5,Justin Timberlake,@jtimberlake,I write hooks but I’m really just here for the bridge.,March 2009,339,61M,https://pbs.twimg.com/profile_images/1749460619164520450/tyxxlzD3_200x200.jpg,https://pbs.twimg.com/profile_banners/26565946/1710522844/600x200,
6,Britney Spears ,@britneyspears,Artist ,September 2008,345.6K,54.8M,https://pbs.twimg.com/profile_images/1323418800876777474/0w4orMOC_200x200.jpg,https://pbs.twimg.com/profile_banners/16409683/1698163837/600x200,
7,Cristiano Ronaldo,@Cristiano,Welcome to the official Twitter / X page of Cristiano Ronaldo.,June 2010,69,110.8M,https://pbs.twimg.com/profile_images/1594446880498401282/o4L2z8Ay_200x200.jpg,https://pbs.twimg.com/profile_banners/155659213/1668980773/600x200,
8,Kim Kardashian,@KimKardashian,@SKIMS,March 2009,128,75.2M,https://pbs.twimg.com/profile_images/1589659852271280128/KhrL02UB_200x200.jpg,https://pbs.twimg.com/profile_banners/25365536/1662565800/600x200,
9,KATY PERRY,@katyperry,LOVE is the key that unlocks every door,February 2009,240,106.7M,https://pbs.twimg.com/profile_images/1721664436426178560/e-RFAuTL_200x200.jpg,,
10,Justin Bieber,@justinbieber,JUSTICE the album out now,March 2009,274.4K,111.1M,https://pbs.twimg.com/profile_images/1473447174591684612/vlsbWYtq_200x200.jpg,https://pbs.twimg.com/profile_banners/27260086/1633666270/600x200,
11,Taylor Swift,@taylorswift13,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out April 19 ,December 2008,0,95.3M,https://pbs.twimg.com/profile_images/1766836345450672128/HpuBz514_200x200.jpg,https://pbs.twimg.com/profile_banners/17919972/1710081597/600x200,
12,Rihanna,@rihanna,,October 2009,972,108M,https://pbs.twimg.com/profile_images/1585851311701970945/fC9dfWVm_200x200.jpg,https://pbs.twimg.com/profile_banners/79293791/1666801643/600x200,
13,Lady Gaga,@ladygaga,JAZZ & PIANO ,March 2008,112.6K,83.5M,https://pbs.twimg.com/profile_images/1548557958564364289/6ewE00_O_200x200.jpg,https://pbs.twimg.com/profile_banners/14230524/1690808625/600x200,
